Title,Streams,Daily
Blinding Lights,"3,837,740,126","1,671,011"
Starboy (feat. Daft Punk),"2,733,257,544","2,366,575"
The Hills,"2,029,549,123","1,108,503"
Die For You,"1,810,409,073","2,061,917"
Save Your Tears,"1,685,188,258","1,179,576"
I Feel It Coming (feat. Daft Punk),"1,580,047,528","727,246"
Can't Feel My Face,"1,570,983,430","742,215"
Call Out My Name,"1,530,588,483","1,108,444"
Earned It (Fifty Shades Of Grey),"1,491,202,647","764,630"
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,"1,301,535,234","1,040,668"
* Creepin',"998,567,925","1,844,752"
Often,"864,414,109","518,388"
In Your Eyes,"863,549,746","355,352"
"* Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix","833,410,063","414,499"
Heartless,"829,827,406","709,077"
Pray For Me,"804,259,872","517,359"
* Love Me Harder,"800,490,897","489,882"
I Was Never There,"781,457,625","994,821"
Reminder,"779,881,630","1,265,083"
After Hours,"767,205,051","880,152"
* Low Life (feat. The Weeknd),"743,251,117","580,825"
* Lost in the Fire (feat. The Weeknd),"733,789,424","667,327"
* You Right,"717,946,841","546,477"
Stargirl Interlude (feat. Lana Del Rey),"716,778,484","1,419,948"
Party Monster,"682,541,039","626,680"
* Moth To A Flame (with The Weeknd),"681,085,299","877,754"
Die For You (with Ariana Grande) - Remix,"644,145,758","1,237,229"
* One Right Now (with The Weeknd),"566,980,749","323,016"
Wicked Games,"521,417,224","259,264"
In The Night,"493,777,083","294,604"
Is There Someone Else?,"456,100,499","860,732"
Acquainted,"444,233,329","204,250"
Take My Breath - Single Version,"441,514,060","108,178"
* Smile (with The Weeknd),"435,381,339","115,993"
* LA FAMA,"400,149,360","257,773"
The Morning,"386,884,282","295,769"
Out of Time,"372,812,339","419,310"
* Some Way,"364,178,430","172,787"
* Hurricane,"362,168,935","245,848"
Sidewalks (feat. Kendrick Lamar),"348,682,121","162,901"
Sacrifice,"345,055,424","239,103"
Try Me,"328,949,462","155,523"
Secrets,"322,529,993","122,917"
* Crew Love,"313,375,720","182,996"
Wasted Times,"313,286,757","116,715"
* Lust for Life (with The Weeknd),"307,754,682","179,816"
* Hawái - Remix,"304,202,930","82,682"
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,"296,651,893","1,930,285"
High For This,"291,057,042","153,539"
False Alarm,"279,980,710","137,267"
Six Feet Under,"278,610,297","96,757"
True Colors,"276,634,457","90,340"
Hurt You,"274,834,039","161,092"
Dark Times,"254,262,519","36,951"
Rockin’,"242,699,019","71,675"
Tell Your Friends,"241,696,625","79,734"
Often - Kygo Remix,"226,516,756","66,458"
Less Than Zero,"225,943,422","336,279"
A Lonely Night,"216,649,717","106,388"
* Might Not,"212,693,058","56,803"
House Of Balloons / Glass Table Girls,"209,869,385","393,752"
What You Need,"204,519,543","172,041"
Shameless,"196,071,942","64,791"
* Over Now (with The Weeknd),"192,086,227","82,591"
Ordinary Life,"184,041,162","82,675"
* K-POP,"178,846,368","910,466"
Privilege,"178,639,396","63,585"
Prisoner,"177,763,752","73,384"
* Power is Power (feat. The Weeknd & Travis Scott),"176,629,675","67,427"
* Comin Out Strong (feat. The Weeknd),"176,543,121","41,343"
Attention,"174,776,094","60,531"
Nothing Without You,"174,450,934","59,353"
Hardest To Love,"170,757,811","81,526"
Faith,"165,825,634","127,981"
Alone Again,"162,495,435","83,824"
Escape From LA,"162,061,585","90,326"
Too Late,"161,965,131","77,875"
All I Know (feat. Future),"157,415,767","48,700"
* Curve (feat. The Weeknd),"155,634,243","21,380"
Scared To Live,"150,888,894","61,635"
Take My Breath,"145,397,551","198,031"
Love To Lay,"145,047,180","47,502"
Snowchild,"141,351,287","63,440"
* off the table (with The Weeknd),"140,489,975","59,814"
How Do I Make You Love Me?,"129,255,195","134,136"
Real Life,"127,264,407","26,923"
As You Are,"127,153,201","69,271"
Double Fantasy (with Future),"125,719,742","327,517"
Angel,"125,220,570","44,471"
Gasoline,"122,333,249","68,703"
Losers,"121,203,051","31,620"
